"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 21:05:50,,6.35,,0,,0,,0
2024-08-07 21:06:00,,6.35,,0,,0,,0
2024-08-07 21:06:10,,0.100,,0,,0,,0
2024-08-07 21:06:20,,0.100,,0,,0,,0
2024-08-07 21:06:30,,0.100,,0,,0,,0
2024-08-07 21:06:40,,0.177,,0,,0,,0
2024-08-07 21:06:50,,0.177,,0,,0,,0
2024-08-07 21:07:00,,0.177,,0,,0,,0
2024-08-07 21:07:10,,0.0609,,0,,0,,0
2024-08-07 21:07:20,,0.0609,,0,,0,,0
2024-08-07 21:07:30,,0.0609,,0,,0,,0
2024-08-07 21:07:40,,0.202,,0,,0,,0
2024-08-07 21:07:50,,0.202,,0,,0,,0
2024-08-07 21:08:00,,0.202,,0,,0,,0
2024-08-07 21:08:10,,0.238,,0,,0,,0
2024-08-07 21:08:20,,0.238,,0,,0,,0
2024-08-07 21:08:30,,0.238,,0,,0,,0
2024-08-07 21:08:40,,5.53,,0,,0,,0
2024-08-07 21:08:50,,5.53,,0,,0,,0
2024-08-07 21:09:00,,5.53,,0,,0,,0
2024-08-07 21:09:10,,13.7,,0,,0,,0
2024-08-07 21:09:20,,13.7,,0,,0,,0
2024-08-07 21:09:30,,13.7,,0,,0,,0
2024-08-07 21:09:40,,13.1,,0,,0,,0
2024-08-07 21:09:50,,13.1,,0,,0,,0
2024-08-07 21:10:00,,13.1,,0,,0,,0
2024-08-07 21:10:10,,13.9,,0,,0,,0
2024-08-07 21:10:20,,13.9,,0,,0,,0
2024-08-07 21:10:30,,13.9,,0,,0,,0
2024-08-07 21:10:40,,13.8,,0,,0,,0
2024-08-07 21:10:50,,13.8,,0,,0,,0
2024-08-07 21:11:00,,13.8,,0,,0,,0
2024-08-07 21:11:10,,14.4,,0,,0,,0
2024-08-07 21:11:20,,14.4,,0,,0,,0
2024-08-07 21:11:30,,14.4,,0,,0,,0
2024-08-07 21:11:40,,13.3,,0,,0,,0
2024-08-07 21:11:50,,13.3,,0,,0,,0
2024-08-07 21:12:00,,13.3,,0,,0,,0
2024-08-07 21:12:10,,14.9,,0,,0,,0
2024-08-07 21:12:20,,14.9,,0,,0,,0
2024-08-07 21:12:30,,14.9,,0,,0,,0
2024-08-07 21:12:40,,13.8,,0,,0,,0
2024-08-07 21:12:50,,13.8,,0,,0,,0
2024-08-07 21:13:00,,13.8,,0,,0,,0
2024-08-07 21:13:10,,14.4,,0,,0,,0
2024-08-07 21:13:20,,14.4,,0,,0,,0
2024-08-07 21:13:30,,14.4,,0,,0,,0
2024-08-07 21:13:40,,14.3,,0,,0,,0
2024-08-07 21:13:50,,14.3,,0,,0,,0
2024-08-07 21:14:00,,14.3,,0,,0,,0
2024-08-07 21:14:10,,13.8,,0,,0,,0
2024-08-07 21:14:20,,13.8,,0,,0,,0
2024-08-07 21:14:30,,13.8,,0,,0,,0
2024-08-07 21:14:40,,14.4,,0,,0,,0
2024-08-07 21:14:50,,14.4,,0,,0,,0
2024-08-07 21:15:00,,14.4,,0,,0,,0
2024-08-07 21:15:10,,13.9,,0,,0,,0
2024-08-07 21:15:20,,13.9,,0,,0,,0
2024-08-07 21:15:30,,13.9,,0,,0,,0
2024-08-07 21:15:40,,14.4,,0,,0,,0
2024-08-07 21:15:50,,14.4,,0,,0,,0
2024-08-07 21:16:00,,14.4,,0,,0,,0
2024-08-07 21:16:10,,13.8,,0,,0,,0
2024-08-07 21:16:20,,13.8,,0,,0,,0
2024-08-07 21:16:30,,13.8,,0,,0,,0
2024-08-07 21:16:40,,14.1,,0,,0,,0
2024-08-07 21:16:50,,14.1,,0,,0,,0
